id;url;saldo_actual;category;points_per_view;release_date;release_date_youtube;duracion;release_difference;total_views;points_given;shares_first_day;shares_first_week;shares_first_month;male_shares;female_shares;total_shares;total_users_at_release;1_week_active_users_at_release;2_week_active_users_at_release;1_week_new_users_at_release;2_week_new_users_at_release;active_raffles_at_release;1_week_active_raffles;2_week_active_raffles
9;xjz_LizVdU4;0;MISC;150;2013-10-05 22:53:38;2013-10-05 20:21:53;56;9105;1621;234564;1;28;169;142;171;362;214;2;2;5;5;0;11;11
19;n6kyn-7MSFk;0;DEPORTES;100;2013-10-09 13:16:00;2013-06-06 23:32:11;31;10763029;1615;153158;1;28;89;96;67;188;220;4;4;10;11;0;11;12
470;3x_5uR_XBOU;83620;MISC;30;2014-04-14 03:27:07;2014-04-10 20:39:47;108;283640;1596;36360;5;6;6;4;1;6;2276;57;92;57;101;5;5;5
376;Go9rf9GmYpM;175730;MISC;30;2014-03-20 18:48:32;2014-03-20 09:36:36;97;33116;1592;54270;11;21;25;11;18;31;2118;52;81;42;72;2;5;6
440;eBuC_0-d-9Y;43170;MISC;30;2014-04-07 15:19:37;2014-04-07 09:07:42;80;22315;1562;46830;5;6;6;3;2;6;2222;49;96;45;81;4;6;6
656;XrZFM2nvLXA;54490;MISC;30;2014-06-15 23:43:54;2014-06-15 20:40:48;215;10986;1522;45510;3;6;6;1;4;6;2443;30;45;13;26;3;3;3
619;Ci6lMQNLKZU;958450;VIDEOJUEGOS;30;2014-06-02 14:24:48;2014-06-02 15:18:42;117;-3234;1394;41550;4;7;7;5;1;7;2418;42;56;17;27;5;5;5
383;VEQXeLjY9ak;32320;MISC;30;2014-03-22 14:25:33;2014-03-21 20:08:07;109;65846;1297;27660;8;12;12;4;7;12;2132;58;86;42;82;5;5;6
55;BGerX3CTqFw;7550;MISC;10;2013-10-30 15:48:42;2013-10-27 16:56:39;37;255123;1260;18930;6;7;18;9;10;23;760;168;277;169;311;9;10;10
496;AqVfoZdYaDQ;63580;MISC;30;2014-04-25 04:15:07;0000-00-00 00:00:00;0;-1;1218;36420;2;4;4;2;1;4;2342;58;90;49;91;3;5;5
16;3wbvpOIIBQA;27640;MISC;44;2013-10-09 13:11:27;2013-10-01 04:00:00;275;724287;1204;52360;1;29;81;85;80;187;220;4;4;10;11;0;11;12
802;BUREX8aFbMs;65290;MISC;30;2014-09-06 21:56:48;2014-09-05 23:06:11;64;82237;1170;34710;1;2;2;0;0;2;2612;7;13;5;16;0;0;0
896;aKdV5FvXLuI;65320;MISC;30;2014-10-29 18:00:58;2014-10-29 04:07:29;241;50009;1166;34680;1;1;2;0;1;2;2701;9;13;2;7;0;0;0
150;FoyCgH3kibs;10;DEPORTES;30;2013-12-26 19:50:18;2013-12-25 15:31:13;191;101945;1158;9990;6;8;8;5;2;8;1392;44;108;14;47;5;5;13
22;KBlBWznWq44;5920;VIDEOJUEGOS;120;2013-10-09 13:17:01;0000-00-00 00:00:00;0;-1;1126;137430;1;31;95;77;58;157;220;4;4;10;11;0;11;12
97;vyABlQ2lm2w;0;VIDEOJUEGOS;120;2013-11-22 14:37:24;2013-11-21 11:40:56;117;96988;1104;134460;6;47;109;94;64;175;1071;92;218;73;204;8;8;8
855;xQ_IQS3VKjA;68830;DEPORTES;30;2014-10-02 13:43:04;2014-10-02 10:57:27;459;9937;1049;31170;3;4;4;2;0;4;2683;16;20;15;24;0;0;0
349;5ky6vgQfU24;39500;MISC;30;2014-03-14 04:29:17;2009-03-20 17:19:39;319;157201778;1031;20490;3;5;5;3;1;5;2078;47;75;30;63;4;7;7
32;CjB_oVeq8Lo;13148;MISC;30;2013-10-20 16:02:51;2013-09-25 21:27:35;124;2140516;1028;36852;18;49;79;52;59;126;517;190;241;206;302;10;11;11
754;nZx4MichXXE;69310;MISC;30;2014-08-06 14:02:59;2014-08-06 07:21:30;68;24089;1028;30690;2;2;2;1;0;2;2578;19;34;12;40;8;8;8
28;Ug7gZppPhww;42;MISC;70;2013-10-15 13:19:09;2013-09-26 18:28:20;31;1623049;1023;99958;27;74;173;40;145;230;386;135;136;170;176;10;10;11
11;2inR8eueoGU;2780;MISC;70;2013-10-09 13:09:26;2013-09-10 18:22:32;32;2486814;1015;77220;1;55;105;42;126;202;220;4;4;10;11;0;11;12
104;t5ZRuH6kHfE;0;CINE;20;2013-11-30 17:57:03;2013-11-27 23:59:10;32;237473;1012;20000;10;40;54;22;26;54;1161;119;169;87;148;7;7;7
615;MJsujD3yDJw;909910;MISC;90;2014-05-28 17:48:17;2014-05-28 15:02:31;124;9946;1003;90090;15;21;25;13;14;28;2408;39;50;16;25;6;6;6
638;JHixeIr_6BM;70270;MISC;30;2014-06-09 17:12:22;0000-00-00 00:00:00;0;-1;996;29730;6;6;6;4;1;6;2432;31;55;14;31;4;4;4
76;aX2KNyaoNV4;0;VIDEOJUEGOS;100;2013-11-11 14:31:08;2013-06-11 14:38:11;99;13218777;971;99796;10;44;107;67;53;133;891;135;210;92;179;9;9;9
935;rLp5hlyrtnE;71860;MISC;30;2014-11-26 18:27:21;2014-11-19 12:24:00;331;626601;959;28140;1;1;1;0;0;1;2715;7;11;1;6;0;0;1
648;igp9sJkuAnU;72790;DEPORTES;30;2014-06-11 18:55:44;2014-06-10 18:30:01;499;87943;958;27210;4;6;11;9;0;11;2433;29;50;8;25;4;4;4
736;-7YzXMzZ1bU;72370;MISC;30;2014-07-27 18:37:34;0000-00-00 00:00:00;0;-1;924;27630;2;8;8;3;3;8;2551;21;29;21;49;1;8;8
