duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
109;119970;510;5;7;7;7;2116;114;43;6;33.3;1;3;7;0.29
162;6972278;106;14;17;17;17;2117;98;41;6;1936.7;81;2;17;0.56
97;33116;1592;11;25;21;31;2118;84;42;6;9.2;0;0;31;0.49
101;33360;11;2;8;5;9;2123;98;46;6;9.3;0;1;9;0.46
189;35740;3165;2;4;4;4;2123;116;45;6;9.9;0;2;4;0.67
500;114702;368;7;9;9;9;2123;96;45;6;31.9;1;1;9;0.65
158;-1;25;3;5;5;5;2130;106;41;6;0;0;2;5;0.71
109;63973;1;3;3;3;3;2131;112;41;6;17.8;1;2;3;0.37
109;65846;1297;8;12;12;12;2132;102;42;6;18.3;1;2;12;0.52
157;346;38;5;19;14;24;2141;74;44;6;0.1;0;0;24;0.53
158;6675;15;6;9;7;9;2141;86;44;6;1.9;0;0;9;0.57
241;416764;131;6;7;7;7;2141;43;44;6;115.8;5;1;7;0.31
130;6221;126;4;5;5;5;2141;81;44;6;1.7;0;0;5;0.3
205;237877;7;3;3;3;3;2142;78;45;6;66.1;3;1;3;0.73
70;14092;21;8;19;14;19;2142;84;45;6;3.9;0;2;19;0.3
46;-1;38;3;5;5;5;2144;101;47;6;0;0;1;90;0.9
298;44359;4;3;3;3;3;2152;83;48;6;12.3;1;2;3;0.65
208;632442;10;3;5;3;5;2154;139;50;7;175.7;7;1;5;0.67
30;-1;20;4;6;4;6;2155;126;51;7;0;0;0;112;0.89
112;56176;69;4;15;13;16;2157;158;42;7;15.6;1;0;16;0.31
148;62000;48;4;5;5;5;2157;130;42;7;17.2;1;1;5;0.45
83;1048684;17;2;7;3;7;2158;138;42;7;291.3;12;3;7;0.69
155;14592;1;2;4;2;4;2160;113;44;6;4.1;0;1;4;0.39
281;87014;2;2;2;2;2;2160;118;44;6;24.2;1;0;2;0.68
121;175191;527;5;5;5;5;2160;111;44;6;48.7;2;2;5;0.29
91;-77;427;6;12;9;12;2160;100;44;6;0;0;1;12;0.39
305;110212;49;5;8;8;8;2162;112;42;6;30.6;1;2;8;0.56
126;23320802;29;2;6;6;7;2163;183;40;7;6478;270;3;7;0.61
161;80915;709;3;4;4;4;2163;158;40;7;22.5;1;2;4;0.65
155;345946;2;2;4;2;4;2172;140;39;7;96.1;4;3;4;0.21
135;692649;264;4;5;5;5;2173;156;33;7;192.4;8;3;5;0.69
44;7237;14;3;5;3;5;2174;171;33;7;2;0;0;142;0.83
143;697328;204;9;40;19;69;2176;154;35;7;193.7;8;2;69;0.43
205;421997;22;2;3;3;3;2176;175;35;7;117.2;5;2;3;0.42
82;12764;12;3;3;3;3;2181;156;39;7;3.5;0;1;3;0.35
130;3967834;68;4;19;12;25;2181;170;39;7;1102.2;46;2;25;0.73
91;5106;280;3;3;3;3;2181;133;36;7;1.4;0;1;3;0.64
75;16384;40;2;7;5;13;2183;183;31;7;4.6;0;1;13;0.36
115;81686;65;3;3;3;3;2183;196;31;7;22.7;1;2;3;0.31
139;6131;4;3;5;5;5;2183;146;30;7;1.7;0;3;5;0.51
63;50265;13;6;12;10;12;2184;131;29;7;14;1;1;12;0.33
179;85684;11;2;4;4;4;2184;156;29;7;23.8;1;3;4;0.5
101;-1;150;7;15;13;21;2188;121;30;7;0;0;3;21;0.69
287;33769;87;2;3;3;3;2190;110;30;6;9.4;0;2;3;0.58
73;110193;7491;4;5;5;5;2190;96;30;6;30.6;1;2;5;0.58
78;2638;911;3;5;5;5;2195;66;35;6;0.7;0;2;5;0.26
158;1111;6;2;5;5;5;2195;91;35;6;0.3;0;2;5;0.37
132;119831;15;5;9;9;11;2196;118;36;6;33.3;1;2;11;0.68
105;-1;85;2;5;5;5;2196;108;35;6;0;0;2;5;0.52
165;39584;153;2;6;6;7;2196;56;34;6;11;0;1;7;0.59
108;-1;350;4;6;6;6;2197;100;35;6;0;0;1;6;0.52
146;109061;80;7;19;16;22;2202;99;39;6;30.3;1;2;22;0.43
174;-1;28;2;5;5;5;2206;106;43;6;0;0;1;5;0.42
69;-1;25;2;5;5;8;2207;104;42;6;0;0;2;8;0.61
67;633701;191;3;9;6;9;2208;110;43;6;176;7;1;9;0.61
64;14648;6;2;6;5;6;2208;77;43;6;4.1;0;2;6;0.54
249;81226826;41;2;10;8;11;2208;85;42;6;22563;940;3;11;0.29
117;76581;796;3;6;6;6;2208;107;36;6;21.3;1;1;6;0.57
140;197919;57;2;7;7;7;2209;101;37;6;55;2;3;7;0.42
147;208381;898;4;9;9;9;2211;92;38;6;57.9;2;1;9;0.45
126;25885;11;3;4;4;4;2222;89;46;6;7.2;0;1;4;0.31
80;22315;1562;5;6;6;6;2222;56;45;6;6.2;0;2;6;0.6
214;35134;16;4;5;5;5;2222;97;40;6;9.8;0;1;5;0.5
91;61274;124;3;5;5;5;2222;101;40;6;17;1;2;5;0.53
242;1024079;97;4;21;16;35;2223;95;41;6;284.5;12;1;35;0.57
75;1528868;379;6;20;18;34;2223;122;40;6;424.7;18;2;34;0.2
159;2717;56;4;15;11;23;2223;109;40;6;0.8;0;3;23;0.46
109;-1;245;6;26;19;34;2223;111;40;6;0;0;3;34;0.59
135;11755;166;3;4;4;4;2223;92;40;6;3.3;0;2;4;0.45
87;-1;16;4;4;4;4;2229;89;45;6;0;0;3;4;0.76
31;468205;14;3;3;3;3;2230;66;46;6;130.1;5;2;3;0.23
148;51214;520;11;29;15;37;2232;71;48;6;14.2;1;3;37;0.63
51;425901;1;3;3;3;3;2232;81;46;6;118.3;5;1;3;0.47
87;109013;37;5;5;5;5;2233;83;45;6;30.3;1;3;5;0.49
211;12966;15;4;4;4;4;2233;101;45;6;3.6;0;0;4;0.54
74;29225;110;5;15;10;17;2238;118;48;5;8.1;0;1;17;0.78
78;16037;42;6;14;10;16;2239;110;49;5;4.5;0;1;16;0.48
323;294029;6;4;5;5;5;2239;83;49;5;81.7;3;2;5;0.22
77;58553;24;5;6;6;6;2242;160;52;5;16.3;1;2;6;0.58
60;5797;121;4;7;5;7;2242;83;52;5;1.6;0;1;7;0.39
192;130668;53;2;4;4;4;2242;120;47;5;36.3;2;1;4;0.65
157;7980320;8;4;7;7;7;2243;98;48;5;2216.8;92;2;7;0.49
83;5688;209;5;19;17;21;2243;76;47;5;1.6;0;2;21;0.38
80;4404;7;3;12;8;13;2245;101;49;5;1.2;0;2;13;0.31
174;54669;29;4;6;6;6;2245;114;49;5;15.2;1;2;6;0.61
131;399471;45;3;5;5;5;2251;94;53;5;111;5;2;5;0.26
186;146433;49;2;9;8;9;2252;86;48;5;40.7;2;0;9;0.72
746;120060;25;3;6;6;6;2253;86;45;5;33.4;1;2;6;0.66
204;87273;85;5;17;14;18;2253;113;45;5;24.2;1;0;18;0.54
135;13611;5;4;7;7;9;2254;106;45;5;3.8;0;2;9;0.47
418;74549;1804;8;9;9;9;2264;138;50;5;20.7;1;1;9;0.68
108;283640;1596;5;6;6;6;2276;83;57;5;78.8;3;0;6;0.36
83;-1;21;2;3;3;3;2278;94;56;5;0;0;0;3;0.75
247;20306;122;5;6;6;6;2280;91;58;5;5.6;0;2;6;0.52
65;629395;15;4;6;6;6;2281;108;58;5;174.8;7;1;6;0.66
149;687712;24;4;12;7;17;2282;87;59;5;191;8;2;17;0.4
57;118728;12;3;4;3;4;2287;113;62;5;33;1;2;4;0.32
81;19196;26;4;5;5;5;2287;83;61;5;5.3;0;2;5;0.68
51;16614;110;5;15;9;15;2287;84;58;5;4.6;0;1;59;0.71
162;218009;60;4;8;7;8;2287;81;56;5;60.6;3;2;8;0.31
260;205307;121;4;7;6;7;2287;90;55;5;57;2;2;7;0.41
162;34300;26;4;5;5;5;2288;101;56;5;9.5;0;1;5;0.24
295;23256;279;12;25;24;25;2288;82;55;5;6.5;0;2;25;0.46
239;12405;171;2;3;3;3;2290;103;53;6;3.4;0;2;3;0.3
31;11297;61;3;4;4;4;2290;83;51;6;3.1;0;1;67;0.81
71;248070;29;3;4;4;4;2290;92;50;6;68.9;3;1;4;0.75
295;2529;23;2;3;3;3;2291;151;48;6;0.7;0;2;3;0.65
137;267622;5660;5;5;5;5;2297;96;44;6;74.3;3;3;5;0.7
233;160528;6050;11;20;20;20;2306;82;29;6;44.6;2;1;20;0.43
39;8323;109;7;12;8;14;2316;84;29;6;2.3;0;2;69;0.83
29;-1;376;4;4;4;4;2316;101;29;6;0;0;2;74;0.73
103;27600;228;5;8;8;8;2325;105;37;6;7.7;0;0;8;0.63
79;27096;71;4;4;4;4;2326;103;38;6;7.5;0;2;4;0.26
333;94617;24;2;5;5;5;2326;84;38;6;26.3;1;0;5;0.47
215;99115;96;1;2;2;2;2327;67;37;5;27.5;1;2;2;0.72
174;-1;126;4;8;6;10;2330;96;40;5;0;0;0;10;0.43
65;134898;320;6;8;8;8;2339;102;46;5;37.5;2;1;8;0.68
48;-1;1218;2;4;4;4;2342;98;49;5;0;0;2;77;0.79
243;21555;124;6;10;8;12;2343;113;49;5;6;0;0;12;0.39
94;260574;90;2;2;2;2;2349;93;43;5;72.4;3;2;2;0.6
116;16574;13;2;2;2;2;2349;107;43;5;4.6;0;1;2;0.56
179;72131;44;3;3;3;3;2349;118;41;5;20;1;1;3;0.39
188;18579;81;3;3;3;3;2349;115;41;5;5.2;0;1;3;0.64
55;12970;54;3;4;4;4;2349;100;41;5;3.6;0;1;85;0.85
82;16237;64;2;16;6;16;2350;95;42;5;4.5;0;2;16;0.35
100;45699;4;1;2;2;2;2350;119;40;5;12.7;1;1;2;0.66
314;41378;24;1;2;2;2;2350;113;39;5;11.5;0;0;2;0.39
94;47580;21;2;3;3;3;2350;111;35;5;13.2;1;1;3;0.33
446;53920;5;1;2;2;2;2350;124;35;5;15;1;0;2;0.78
171;19449;460;1;2;2;2;2350;92;34;5;5.4;0;1;2;0.37
234;21499;175;1;2;2;2;2351;82;35;5;6;0;1;2;0.72
189;48092;3;2;2;2;2;2353;117;30;5;13.4;1;0;2;0.58
104;431882;469;5;16;9;17;2353;120;28;5;120;5;1;17;0.68
153;91337;270;3;3;3;3;2353;102;27;5;25.4;1;1;3;0.33
153;-1;88;1;3;3;3;2354;89;27;5;0;0;1;3;0.26
236;732667;54;1;3;2;3;2354;71;27;5;203.5;8;1;3;0.37
101;8019;18;1;3;3;3;2354;79;27;5;2.2;0;2;3;0.5
116;179588;183;1;7;3;7;2354;99;27;5;49.9;2;2;7;0.59
293;718066;17;1;3;3;3;2354;97;27;5;199.5;8;1;3;0.79
165;-1;26;1;2;2;2;2354;118;16;5;0;0;2;2;0.24
167;50620;8;2;4;3;4;2356;95;13;5;14.1;1;0;4;0.38
149;49208;18;2;2;2;2;2356;86;13;5;13.7;1;2;2;0.36
203;205171;4;2;2;2;2;2357;91;9;5;57;2;1;2;0.76
96;50580;14;2;2;2;2;2359;136;10;5;14.1;1;0;2;0.68
121;377183;21;2;4;2;4;2359;81;10;5;104.8;4;1;4;0.4
75;2033;209;5;12;7;12;2359;116;10;5;0.6;0;2;12;0.66
107;-1;96;3;3;3;3;2359;117;10;5;0;0;1;3;0.35
66;22927;29;2;2;2;2;2361;117;11;5;6.4;0;2;2;0.38
130;1404;5;3;3;3;3;2361;114;11;5;0.4;0;0;3;0.48
247;12147;205;2;4;3;4;2361;125;11;5;3.4;0;2;4;0.3
233;12033;10;3;3;3;3;2361;113;11;5;3.3;0;1;3;0.59
228;68401;7;2;3;2;3;2361;110;11;5;19;1;0;3;0.68
138;27873;41;2;4;2;4;2361;132;11;5;7.7;0;1;4;0.42
31;37104;72;4;5;5;5;2361;101;11;5;10.3;0;2;5;0.59
195;98445;50;3;6;6;6;2361;86;9;5;27.3;1;0;6;0.76
146;56417;4;3;5;5;5;2361;112;9;5;15.7;1;2;5;0.74
144;123178;34;2;9;7;10;2361;106;8;5;34.2;1;2;10;0.3
442;7169;86;3;4;4;4;2362;90;9;5;2;0;0;4;0.59
62;-1;29;6;7;7;7;2362;99;8;5;0;0;0;7;0.55
162;4710;48;4;4;4;4;2364;71;10;4;1.3;0;0;4;0.48
77;51486;242;7;22;18;23;2367;64;13;4;14.3;1;1;23;0.2
126;10575;16;2;3;3;3;2367;46;13;4;2.9;0;0;3;0.69
153;-1;19;4;4;4;4;2367;55;13;4;0;0;1;4;0.52
116;-1;33;2;2;2;2;2367;77;12;4;0;0;2;2;0.49
44;255849;800;3;6;6;6;2370;80;14;4;71.1;3;1;6;0.43
327;58730;37;5;7;5;7;2370;69;14;4;16.3;1;0;7;0.41
179;794628;31;1;4;4;4;2374;64;18;4;220.7;9;1;4;0.78
164;202703;39;4;10;7;10;2374;118;15;4;56.3;2;0;10;0.68
157;268527;39;3;3;3;3;2374;64;15;4;74.6;3;0;3;0.6
50;-1;7;2;2;2;2;2375;74;16;4;0;0;0;66;0.89
111;160305;31;2;2;2;2;2375;60;16;4;44.5;2;2;2;0.34
185;3535050;35;2;3;2;3;2375;61;16;4;982;41;0;3;0.64
179;512006;1688;5;11;11;11;2375;78;16;4;142.2;6;2;11;0.49
314;240872;24;2;2;2;2;2375;126;16;8;66.9;3;3;2;0.66
174;-1;8;2;2;2;2;2376;170;15;8;0;0;4;2;0.38
110;29471;80;3;10;8;10;2379;154;18;8;8.2;0;4;10;0.25
248;6966;7;4;4;4;4;2383;138;22;8;1.9;0;2;4;0.72
281;82442;42;4;4;4;4;2383;122;21;8;22.9;1;2;4;0.34
185;698733;27;4;7;5;7;2383;190;21;8;194.1;8;1;7;0.66
52;5714;77;8;13;10;14;2383;182;20;8;1.6;0;3;149;0.82
85;1442;23;5;10;6;10;2383;135;20;8;0.4;0;2;10;0.67
159;-1;24;4;4;4;4;2383;128;19;7;0;0;2;4;0.32
77;920;6;2;3;2;3;2384;150;18;7;0.3;0;2;3;0.39
295;142584;37;4;4;4;4;2384;193;17;7;39.6;2;1;4;0.62
81;16568;27;4;9;7;10;2384;147;17;7;4.6;0;2;10;0.23
140;56251;29;3;5;4;5;2384;169;17;7;15.6;1;3;5;0.52
140;4964;16;3;3;3;3;2384;154;14;7;1.4;0;2;3;0.52
146;379380;13;2;2;2;2;2384;167;13;7;105.4;4;2;2;0.45
133;227972;22;1;2;2;2;2384;135;10;7;63.3;3;1;2;0.34
259;135799;88;4;19;18;19;2384;160;10;7;37.7;2;1;19;0.29
160;192179;9;2;4;4;4;2385;192;11;7;53.4;2;3;4;0.68
36;152053;30;4;4;4;4;2388;121;14;7;42.2;2;1;4;0.78
165;224539;185;7;11;10;11;2388;144;13;7;62.4;3;3;11;0.28
102;-1;65;2;4;4;4;2391;139;16;7;0;0;0;4;0.33
150;55137;9;3;3;3;3;2391;144;16;7;15.3;1;1;3;0.44
152;1657;2;2;2;2;2;2391;133;16;7;0.5;0;1;2;0.57
170;872960;50;5;7;7;7;2391;173;16;7;242.5;10;2;7;0.64
134;136458;11;2;4;4;4;2392;130;17;7;37.9;2;3;4;0.79
109;67646;12;2;8;8;8;2392;152;16;7;18.8;1;2;8;0.29
100;25105;43;3;7;6;8;2393;124;10;7;7;0;3;8;0.37
102;25423;20;2;3;3;3;2393;198;10;7;7.1;0;3;3;0.62
238;197943;40;2;3;3;3;2394;181;11;7;55;2;0;3;0.4
226;53348;11;3;4;4;4;2395;154;12;7;14.8;1;2;4;0.32
162;227284;56;3;11;9;12;2397;88;14;6;63.1;3;3;12;0.74
80;81234;13;1;2;2;2;2397;132;14;6;22.6;1;1;2;0.78
145;409225;142;2;4;4;4;2397;118;14;6;113.7;5;1;4;0.64
137;90912;91;6;14;10;14;2397;83;14;6;25.3;1;2;14;0.27
199;114453;223;2;3;3;3;2397;88;14;6;31.8;1;1;3;0.25
90;9852;82;3;9;6;11;2397;106;13;6;2.7;0;1;11;0.59
74;-1;7;1;2;2;2;2397;100;13;6;0;0;2;2;0.35
211;27849;18;1;2;2;2;2398;99;14;6;7.7;0;3;2;0.6
420;315494;18;1;5;3;5;2398;86;14;6;87.6;4;2;5;0.64
184;130376;55;1;3;3;3;2398;96;14;6;36.2;2;1;3;0.21
97;21245;153;1;4;3;4;2398;109;14;6;5.9;0;2;4;0.61
200;205184;28;2;6;6;7;2399;103;15;6;57;2;2;7;0.54
168;75957;22;1;4;4;4;2399;91;15;6;21.1;1;1;4;0.25
376;36872;58;2;3;3;3;2399;99;15;6;10.2;0;0;3;0.75
89;11223;69;1;13;10;13;2399;120;15;6;3.1;0;3;13;0.6
60;7677695;118;1;3;3;3;2399;96;15;6;2132.7;89;1;3;0.55
265;809025;5;1;2;2;2;2399;114;15;6;224.7;9;3;2;0.46
163;93774;16;2;4;4;4;2399;152;15;6;26;1;0;4;0.34
111;116420;41;2;5;5;5;2399;94;15;6;32.3;1;0;5;0.36
462;22360;62;3;5;5;5;2401;120;13;6;6.2;0;3;5;0.7
196;8339;15;2;2;2;2;2402;120;11;6;2.3;0;2;2;0.46
123;125688;48;4;9;7;10;2402;46;10;6;34.9;1;1;10;0.67
97;40346;11;4;8;7;8;2402;108;10;6;11.2;0;1;8;0.54
75;242366;48;4;9;9;9;2404;93;12;6;67.3;3;1;9;0.21
107;83040;277;7;8;8;8;2404;132;12;6;23.1;1;2;8;0.57
47;43661;120;6;9;7;9;2405;90;13;6;12.1;1;3;9;0.38
173;11381;3;3;3;3;3;2407;148;15;6;3.2;0;0;3;0.59
227;45205;91;2;3;3;4;2407;109;15;6;12.6;1;3;4;0.21
633;2042;199;5;8;7;8;2407;85;15;6;0.6;0;1;8;0.47
20;51378;67;4;8;8;8;2407;101;15;6;14.3;1;2;8;0.56
36;22234;639;3;4;4;4;2407;92;15;6;6.2;0;1;4;0.75
124;9946;1003;15;25;21;28;2408;92;16;6;2.8;0;2;28;0.71
142;158134;389;4;7;7;7;2408;105;15;6;43.9;2;1;7;0.62
249;6416;1968;8;12;11;13;2412;78;14;5;1.8;0;2;13;0.75
135;-1;54;7;14;12;14;2416;100;17;5;0;0;0;14;0.45
117;-3234;1394;4;7;7;7;2418;85;17;5;0;0;1;7;0.41
51;92817;92;4;4;4;4;2422;90;18;5;25.8;1;1;4;0.61
196;3540;21;4;5;5;5;2422;81;18;5;1;0;1;5;0.73
361;81739;68;3;4;4;4;2422;81;17;5;22.7;1;1;4;0.48
177;70966;13;2;2;2;2;2423;93;16;5;19.7;1;2;2;0.5
126;265590;36;3;9;8;11;2423;44;16;5;73.8;3;2;11;0.49
60;184151;5396;4;5;5;5;2423;87;16;5;51.2;2;2;5;0.56
233;138116;114;5;5;5;5;2426;53;16;4;38.4;2;1;5;0.33
206;71622;20;3;3;3;3;2427;70;17;4;19.9;1;1;3;0.68
304;16895;67;4;8;6;10;2427;52;15;4;4.7;0;1;10;0.31
118;42648;172;10;11;11;11;2427;77;13;4;11.8;0;2;11;0.63
46;1831019;11;2;5;3;6;2427;55;12;4;508.6;21;1;6;0.62
83;631777;27;5;5;5;5;2427;83;12;4;175.5;7;2;5;0.49
165;153137;27;2;4;3;4;2427;65;11;4;42.5;2;2;4;0.38
481;14185;229;6;7;7;7;2427;77;11;4;3.9;0;1;7;0.59
66;58162;114;3;8;4;8;2427;53;10;4;16.2;1;1;8;0.68
59;156975;25;1;3;2;3;2430;47;13;4;43.6;2;2;3;0.68
309;6683;451;5;5;5;5;2430;58;13;4;1.9;0;1;5;0.27
329;3543;505;5;15;8;16;2432;60;14;4;1;0;0;16;0.26
67;-1;996;6;6;6;6;2432;71;14;4;0;0;1;6;0.23
312;3123;14;3;3;3;3;2432;45;14;4;0.9;0;0;3;0.45
128;7098;128;5;6;5;6;2432;72;14;4;2;0;1;6;0.43
339;4314;19;4;4;4;4;2432;63;13;4;1.2;0;2;4;0.32
303;37217;3;2;2;2;2;2432;45;13;4;10.3;0;0;2;0.49
140;6467;17;4;9;6;9;2432;68;13;4;1.8;0;0;9;0.44
78;7302;13;5;6;5;6;2432;62;13;4;2;0;1;6;0.29
86;7916;16;3;7;5;8;2432;86;10;4;2.2;0;1;8;0.36
161;1941;40;3;4;4;4;2433;78;10;4;0.5;0;1;4;0.63
101;4557;30;2;9;5;11;2433;71;10;4;1.3;0;1;11;0.41
499;87943;958;4;11;6;11;2433;80;8;4;24.4;1;1;11;0.26
146;7573;17;1;3;3;3;2437;53;11;4;2.1;0;1;3;0.76
192;233060;49;2;3;3;3;2437;66;11;3;64.7;3;0;3;0.65
120;376063;3786;3;6;6;6;2437;68;10;3;104.5;4;1;6;0.8
273;51178;33;6;6;6;6;2438;51;11;3;14.2;1;1;6;0.62
230;44341;4;2;2;2;2;2438;45;11;3;12.3;1;1;2;0.78
210;74708;10;2;4;4;4;2438;46;11;3;20.8;1;0;4;0.77
180;35421;49;5;10;10;10;2438;52;11;3;9.8;0;0;10;0.64
215;10986;1522;3;6;6;6;2443;44;13;3;3.1;0;1;6;0.6
195;35662;2304;4;4;4;4;2443;70;13;3;9.9;0;1;4;0.61
234;481621;35;4;5;5;5;2447;198;15;8;133.8;6;2;5;0.51
257;4881;63;5;6;6;6;2453;182;21;8;1.4;0;1;6;0.78
137;-1;350;2;2;2;2;2454;158;21;8;0;0;3;2;0.33
176;79506;63;2;2;2;2;2455;129;22;8;22.1;1;4;2;0.61
98;32086;24;2;4;4;4;2455;128;22;8;8.9;0;0;4;0.28
40;-1;127;2;2;2;2;2455;159;18;7;0;0;3;123;0.78
747;35126;70;5;8;7;8;2456;151;19;7;9.8;0;1;8;0.49
195;17398;4285;3;3;3;3;2457;174;19;7;4.8;0;3;3;0.77
181;36735;546;6;10;7;12;2458;135;20;7;10.2;0;0;12;0.52
236;792100;727;3;3;3;3;2459;128;21;7;220;9;2;3;0.68
238;72835;42;2;2;2;2;2462;148;21;7;20.2;1;3;2;0.51
170;101695;170;4;16;10;17;2466;146;24;7;28.2;1;0;17;0.62
214;273126;25;2;2;2;2;2466;188;24;7;75.9;3;2;2;0.37
61;458464;99;2;2;2;2;2466;149;24;7;127.4;5;3;2;0.23
188;567678;72;2;2;2;2;2466;121;23;7;157.7;7;3;2;0.7
154;-70;122;4;5;5;5;2466;151;13;7;0;0;2;5;0.44
41;18315;47;2;2;2;2;2466;156;13;7;5.1;0;1;128;0.82
156;2000389;874;4;5;5;5;2467;130;12;7;555.7;23;2;5;0.37
84;112524;110;3;4;4;4;2468;131;13;7;31.3;1;2;4;0.45
63;19608;17;1;2;2;2;2468;91;13;6;5.4;0;3;2;0.78
232;1331399;9;2;3;2;3;2468;102;13;6;369.8;15;3;3;0.57
93;7539;83;2;4;4;4;2469;119;13;6;2.1;0;2;4;0.61
165;-1;64;2;4;3;4;2469;86;13;6;0;0;1;4;0.37
253;2073679;3;1;3;3;3;2471;119;13;6;576;24;2;3;0.4
156;192397;15;1;3;3;3;2473;116;7;6;53.4;2;2;3;0.76
77;425040;354;3;5;5;5;2474;89;8;6;118.1;5;1;5;0.67
273;29262;915;1;3;3;3;2474;82;8;6;8.1;0;3;3;0.38
98;85475;79;3;8;8;8;2474;69;8;6;23.7;1;2;8;0.41
147;39336;47;4;9;6;9;2474;103;7;6;10.9;0;0;9;0.71
23;165316;262;3;3;3;3;2474;102;6;6;45.9;2;1;3;0.55
115;18583;51;3;9;6;10;2475;135;7;6;5.2;0;3;10;0.7
243;119078;52010;5;7;5;7;2475;138;7;5;33.1;1;2;7;0.71
98;131696;85;3;3;3;3;2475;146;7;5;36.6;2;2;3;0.3
177;1142034;623;4;4;4;4;2476;92;8;5;317.2;13;1;4;0.64
177;2051677;13;1;3;3;3;2479;94;9;5;569.9;24;2;3;0.23
61;37608;516;2;13;7;13;2479;101;9;5;10.4;0;0;13;0.41
78;10126;20;4;13;8;15;2481;116;10;5;2.8;0;0;15;0.25
188;173576;37;1;2;2;2;2481;98;10;5;48.2;2;2;2;0.33
137;99141;641;2;3;3;3;2488;78;14;4;27.5;1;0;3;0.43
74;409116;30;4;5;5;5;2488;104;14;4;113.6;5;1;5;0.26
272;434010;40;1;2;2;2;2488;60;14;4;120.6;5;2;2;0.38
436;88094;123;3;4;4;4;2488;57;14;4;24.5;1;1;4;0.59
302;56409;117;2;4;4;4;2493;54;19;4;15.7;1;1;4;0.31
130;108245;12;1;2;2;2;2493;84;19;4;30.1;1;2;2;0.76
182;2540;52;1;4;3;4;2495;43;21;4;0.7;0;2;4;0.61
106;39518;49;2;4;4;4;2496;57;22;4;11;0;0;4;0.56
101;-1;22;2;2;2;2;2497;66;23;4;0;0;1;2;0.72
188;107955;65;3;4;4;4;2497;77;23;4;30;1;2;4;0.56
177;18919;121;1;3;3;3;2499;50;21;3;5.3;0;0;3;0.28
198;174597;397;2;4;4;4;2499;66;20;3;48.5;2;1;4;0.53
97;479605;133;2;3;3;3;2499;92;19;3;133.2;6;1;3;0.23
87;93819;28;1;6;3;7;2501;54;17;3;26.1;1;0;7;0.47
153;32659;31;2;3;3;3;2507;75;15;3;9.1;0;1;3;0.52
67;122826;9;1;2;2;2;2509;108;15;3;34.1;1;0;2;0.75
132;1406;15;1;3;3;4;2509;80;15;3;0.4;0;1;4;0.32
58;44002;147;4;5;5;5;2509;60;14;3;12.2;1;1;5;0.3
89;113754;18;1;4;4;4;2509;66;12;3;31.6;1;1;4;0.48
115;132017;176;1;4;4;4;2509;58;12;3;36.7;2;1;4;0.78
265;239715;10;2;3;3;3;2514;142;15;9;66.6;3;1;3;0.39
93;5435;9;3;3;3;3;2533;128;27;9;1.5;0;3;3;0.21
965;9989;67;1;3;3;3;2534;125;27;9;2.8;0;2;3;0.25
138;348395;37;1;2;2;2;2537;174;30;9;96.8;4;2;2;0.31
392;30662;6;2;3;3;4;2537;132;28;9;8.5;0;3;4;0.27
117;221185;24;1;2;2;2;2537;129;28;9;61.4;3;4;2;0.74
208;2840;529;3;4;4;4;2537;137;28;9;0.8;0;4;4;0.58
125;218578;55;2;3;3;3;2537;140;28;9;60.7;3;1;3;0.33
82;48550;204;1;3;3;3;2538;144;25;9;13.5;1;3;3;0.42
208;21919;22;1;4;4;4;2538;155;25;9;6.1;0;2;4;0.77
218;73528;27;2;5;5;5;2540;158;27;8;20.4;1;4;5;0.27
185;18114;6;1;4;4;4;2540;159;26;8;5;0;2;4;0.22
84;166430;14;1;9;5;11;2541;194;27;8;46.2;2;1;11;0.66
194;697882;3;1;4;4;5;2541;154;27;8;193.9;8;2;5;0.49
146;9509;459;5;10;9;10;2541;139;27;8;2.6;0;3;10;0.57
65;64642;61;3;4;4;4;2543;191;28;8;18;1;4;4;0.77
75;3209;112;3;4;4;5;2544;170;29;8;0.9;0;1;5;0.24
135;291106;5;3;4;4;4;2546;160;30;8;80.9;3;3;4;0.59
121;7809;30;2;3;3;3;2548;159;28;8;2.2;0;3;3;0.77
160;-1;924;2;8;8;8;2551;143;21;8;0;0;3;8;0.36
64;2404;431;4;7;7;7;2553;124;23;8;0.7;0;1;7;0.41
124;1583;424;3;4;4;5;2559;152;25;8;0.4;0;3;5;0.42
31;60121;553;3;10;8;12;2560;127;25;8;16.7;1;0;12;0.58
335;1246021;82;1;5;4;5;2561;185;25;8;346.1;14;4;5;0.32
189;33769;57;1;4;4;4;2565;129;27;8;9.4;0;4;4;0.58
127;51603;188;3;7;5;7;2568;125;28;8;14.3;1;3;7;0.51
129;26726;526;5;9;7;10;2568;154;26;8;7.4;0;0;10;0.3
212;246455;33;2;3;3;3;2569;123;27;8;68.5;3;1;3;0.77
106;192983;67;2;3;3;3;2569;130;27;8;53.6;2;1;3;0.45
155;23270;502;4;6;6;9;2569;142;27;8;6.5;0;1;9;0.45
133;3441366;732;2;3;3;3;2569;140;26;8;955.9;40;4;3;0.74
278;77109;36;2;3;3;3;2569;139;25;8;21.4;1;2;3;0.59
399;495130;13;1;1;1;1;2577;151;24;8;137.5;6;1;1;0.32
