duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
106;513797;64;5;16;8;16;1046;122;114;8;142.7;6;3;16;0.22
84;2015387;338;7;55;24;62;1047;194;110;8;559.8;23;4;62;0.61
143;655156;57;5;16;7;16;1051;132;108;8;182;8;1;16;0.28
61;86327;97;5;17;7;17;1055;168;104;8;24;1;0;17;0.6
27;-1;18;4;17;6;17;1055;172;94;8;0;0;2;132;0.77
202;5475;204;11;30;16;30;1057;133;81;8;1.5;0;1;30;0.56
152;114109;201;7;30;14;30;1061;158;75;8;31.7;1;4;30;0.5
83;143637;397;7;91;41;91;1071;144;76;8;39.9;2;3;91;0.6
117;96988;1104;6;109;47;175;1071;176;73;8;26.9;1;3;175;0.27
207;282331;796;4;35;19;35;1074;122;68;8;78.4;3;1;35;0.8
220;363366;41;3;16;9;16;1086;124;58;8;100.9;4;3;16;0.72
311;252597;184;10;33;26;33;1089;156;50;8;70.2;3;0;33;0.45
151;23103457;225;10;35;27;35;1089;169;49;8;6417.6;267;1;35;0.37
94;261522;493;15;31;27;31;1138;142;80;7;72.6;3;2;31;0.66
147;741290;192;9;24;22;24;1160;127;86;7;205.9;9;2;24;0.67
32;237473;1012;10;54;40;54;1161;152;87;7;66;3;3;54;0.64
100;262260;269;13;28;24;28;1166;147;88;7;72.8;3;1;28;0.25
80;6018;95;9;29;26;29;1184;121;97;7;1.7;0;3;29;0.79
115;14174591;5003;13;28;23;28;1191;146;104;7;3937.4;164;3;28;0.73
223;26140;349;11;28;21;28;1201;126;112;7;7.3;0;2;28;0.63
148;29555;116;10;25;20;25;1214;128;120;7;8.2;0;1;25;0.22
61;10506;121;12;21;21;21;1218;138;120;7;2.9;0;1;21;0.67
405;50788;44;11;19;15;19;1219;123;117;7;14.1;1;1;19;0.7
223;2074529;23747;21;31;26;32;1232;188;114;7;576.3;24;1;32;0.42
181;1649924;768;9;18;17;18;1244;143;117;6;458.3;19;3;18;0.26
161;6771;160;15;26;21;35;1249;83;118;6;1.9;0;0;35;0.24
138;201002;161;8;27;24;27;1277;86;131;6;55.8;2;1;27;0.39
135;1585626;18;5;13;12;13;1278;115;131;6;440.5;18;2;13;0.41
115;513255;400;17;29;25;29;1309;118;120;6;142.6;6;2;29;0.29
31;2343;883;22;52;40;61;1319;132;110;6;0.7;0;0;110;0.83
234;726903;573;19;25;23;25;1323;106;109;6;201.9;8;2;25;0.29
134;11378;100;6;23;13;25;1330;116;116;6;3.2;0;2;25;0.65
326;172100;851;11;20;17;20;1334;148;115;6;47.8;2;1;20;0.41
347;32801;157;9;15;15;15;1338;84;115;6;9.1;0;1;15;0.54
143;219642;65;16;25;25;25;1339;110;112;6;61;3;3;25;0.38
209;81692;113;11;21;15;21;1340;108;107;6;22.7;1;1;21;0.73
373;138774;53;11;14;12;14;1341;128;98;5;38.5;2;0;14;0.61
46;461309;10;6;6;6;6;1343;84;94;5;128.1;5;1;6;0.77
140;48262;26;8;10;10;10;1343;88;89;5;13.4;1;1;10;0.34
59;-1;243;14;21;18;21;1343;91;85;5;0;0;0;73;0.81
130;166388;122;8;17;17;17;1348;47;81;5;46.2;2;2;17;0.21
233;171306;87;12;17;17;17;1353;152;77;5;47.6;2;2;17;0.32
113;106377;71;7;17;9;20;1362;84;63;5;29.5;1;1;20;0.58
82;40189125;126;12;18;15;18;1362;103;55;5;11163.6;465;1;18;0.27
97;53154;72;5;10;9;10;1368;116;49;5;14.8;1;2;10;0.27
153;-1;104;8;17;16;17;1369;108;45;5;0;0;0;17;0.39
91;95330;78;8;14;14;14;1371;116;34;5;26.5;1;1;14;0.66
133;12467;670;12;50;21;52;1373;148;34;5;3.5;0;1;52;0.57
112;77527;33;6;12;12;12;1373;78;34;5;21.5;1;2;12;0.5
91;19761;83;6;18;11;20;1373;124;34;5;5.5;0;1;20;0.49
65;195299;185;5;18;10;18;1375;106;35;5;54.2;2;1;18;0.38
39;143035;82;5;18;12;19;1376;94;35;5;39.7;2;0;19;0.23
232;113117;456;5;36;13;49;1378;111;35;5;31.4;1;0;49;0.41
70;78834;165;8;24;20;24;1378;87;35;5;21.9;1;1;24;0.69
123;21812;452;2;29;12;29;1378;82;26;5;6.1;0;2;29;0.6
241;687782;57;3;17;9;19;1378;110;25;5;191.1;8;2;19;0.38
326;168906;178;10;22;16;22;1380;95;19;5;46.9;2;1;22;0.7
152;191130;53;7;16;10;17;1390;99;27;5;53.1;2;2;17;0.8
184;535149;124;8;21;14;21;1390;100;26;5;148.7;6;0;21;0.28
213;614372;97;8;26;13;26;1391;85;26;5;170.7;7;0;26;0.5
128;58546;235;6;20;11;20;1391;94;23;5;16.3;1;2;20;0.52
191;101945;1158;6;8;8;8;1392;199;14;13;28.3;1;3;8;0.76
272;34491713;111;8;19;10;19;1394;194;16;12;9581;399;5;19;0.56
169;99598;173;4;21;11;24;1398;178;20;12;27.7;1;5;24;0.61
180;697119;41;2;8;4;8;1401;183;21;12;193.6;8;5;8;0.21
324;1952769;47;4;14;8;14;1401;190;12;9;542.4;23;4;14;0.56
88;93315417;156;4;20;10;26;1411;143;20;8;25920.9;1080;1;26;0.27
31;133566;580;11;52;22;82;1413;136;22;8;37.1;2;2;82;0.21
121;-1;73;6;14;14;14;1426;184;25;8;0;0;0;14;0.35
197;27787958;43;5;15;12;15;1426;149;25;8;7718.9;322;2;15;0.55
204;849499;111;6;17;14;18;1429;122;28;8;236;10;2;18;0.56
145;409974;337;9;21;17;27;1430;136;29;8;113.9;5;4;27;0.39
110;28213;68;6;14;12;14;1430;198;29;8;7.8;0;2;14;0.33
151;10703895;269;6;21;18;26;1431;143;30;8;2973.3;124;3;26;0.56
155;-1;42;5;9;7;9;1432;136;31;8;0;0;2;9;0.52
86;135711;48;8;15;12;19;1432;150;31;8;37.7;2;2;19;0.62
123;1412865;30;6;9;8;10;1436;156;25;8;392.5;16;1;10;0.67
